"","MSY","SSBMSY","FMSY","FMSYperFcur","Cratio","pSPR"
"MSY",12967.0905828971,24259.3246369195,0.289663453129367,0.667506597654829,0.184913691940822,0.497328774632646
"0.6MSY",7780.38765650128,7808.91605077495,0.488811866892454,1.12642842111312,0.282948450734089,0.307667085698483
"0.1MSY",1296.79108230296,780.758355483429,0.634657210274585,1.46251752000723,0.340325317026803,0.216441880779294
