Year,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,18.51368473,11.20980877,10.05135846,16.95912752,9.534126572,16.15296429,11.78354129,9.611058041,7.481783011,11.2072464,6.263680474,10.18789788,9.133865111,6.560971464,4.787576071,8.273691526,6.795489919,7.506951961,4.417934171,9.296398303,7.112673698,4.460238165
2,41.44056011,43.5628937,36.77245161,40.60416426,36.21826344,31.60047369,23.83675011,29.17855746,34.16981368,34.95857505,26.98463685,35.33201709,32.97759735,25.35895036,27.94856086,23.64607133,27.48430769,31.30912026,20.30246496,23.69285525,21.99257744,27.00445226
3,95.48509141,107.3964511,93.62243559,95.1116458,100.3605009,100.1672426,94.26938613,87.03717367,81.04831623,86.80979425,86.33918989,76.97752797,84.80860552,72.74014924,85.56247583,88.05382408,90.09527137,91.4185856,94.98794431,93.95836966,88.29571362,118.1413767
4,95.48509141,107.3964511,93.62243559,95.1116458,100.3605009,100.1672426,94.26938613,87.03717367,81.04831623,86.80979425,86.33918989,76.97752797,84.80860552,72.74014924,85.56247583,88.05382408,90.09527137,91.4185856,94.98794431,93.95836966,88.29571362,118.1413767
